Champion,Cost,Role,Damage Type,Origin 1,Origin 2,Class 1,Class 2,Range,Summary,Skill Description,Step,Skill Type,Trigger (When),Condition (Only if),Action Source,Legacy action,Aim Target,Offset,AOE (hex),Skill Range,Count,Volley Shape,Fire Timing,Cast (s),Effect Recipient,Effect Category,Effect Detail,Amount,Scaling Type,Scaling,Effect Cadence,Effect Duration (s)
Milio,1 Gold,Mage,AP,Ixtal,,Invoker,,4,Bouncing-Ball Support,"Kick a ball at the current target that deals magic damage and Stuns for 1.5 seconds. The ball bounces to the closest enemy behind the target, dealing magic damage on impact and magic damage to adjacent enemies.Ball Damage: 220% / 330% / 500%.Bounce Damage: 180% / 270% / 400%.Splash Damage: 90% / 140% / 200%",1,Active,On Cast,—,Self,Homing Projectile,Current,default,default,4,1,—,—,—,Same to Aim Target,Attack,Damage,220/330/500% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Status,Stun,—,—,—,Once,1.5
,,,,,,,,,,,2,Active,On Projectile Hit,—,Step 1 Projectile,Homing Projectile,Closest enemy behind Step 1 Aim target,default,default,4,1,—,—,—,Same to Aim Target,Attack,Damage,180/270/400% AP,—,—,Once,—
,,,,,,,,,,,3,Active,On Projectile Hit,—,Step 2 Projectile,Circle AOE,Step 2 Aim target,centred,Circle 1 hex,4,1,—,—,—,Enemies in area,Attack,Damage,90/140/200% AP,—,—,Once,—
Mordekaiser,4 Gold,Fighter,AP,Noxus,,Slayer,,1,Stat-Stealing Reaper,"Passive: Attacks deal bonus magic damage, increased while God of Death is active. Active: Gain Shield and 1 range for 5 seconds. Killing enemies in this state steals their Health, Attack Damage, Ability Power, Armor, and Magic Resistance until combat ends. Damage: 100% / 150% / 375%. Empowered Damage: 250% / 375% / 900%. Shield: 40% HealthPercent. Stat Steal: 6% / 6% / 15%.",0.1,Passive,On Attack,If not Empowered,Self,Bonus on AA,Current,—,—,1,1,—,—,—,Same to Aim Target,Attack,Damage,100/150/375% AP,—,—,Once,—
,,,,,,,,,,,,,,If Empowered,,,,,,,,,,,Same to Aim Target,Attack,Damage,250/375/900% AP,—,—,Once,—
,,,,,,,,,,,1,Active,On Cast,—,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Shield,40% max HP,—,—,Once,5
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Buff,Range,1,—,—,Once,5
,,,,,,,,,,,2,Active,On Kill,If Empowered,Self,Cast,Current,—,—,1,—,—,—,—,Self,Buff,Bonus HP,6/6/15%,Derived,of the killed enemy's stat,Once,Permanent
,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,AD,6/6/15%,Derived,of the killed enemy's stat,Once,Permanent
,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,AP,6/6/15%,Derived,of the killed enemy's stat,Once,Permanent
,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,Armor,6/6/15%,Derived,of the killed enemy's stat,Once,Permanent
,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,MR,6/6/15%,Derived,of the killed enemy's stat,Once,Permanent
Fiora,4 Gold,Fighter,AD,Demacia,,Challenger,,1,Untargetable Duellist,"Blade Waltz: Become untargetable and strike the current target 4 times, prioritizing low-Health targets. Each strike deals 160/160/240% Attack Damage physical damage and 60/90/270% Ability Power true damage. Heal for 15% of the total damage dealt. If the target dies, change targets to the nearest enemy.",1,Active,On Cast,—,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Untargetable,—,—,—,Once,—
,,,,,,,,,,,2,Active,After Step 1,—,Self,QuickAA,Lowest-HP enemy,default,default,1,4,—,Consecutive,—,Same to Aim Target,Attack,Damage,160/160/240% AD,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Attack,True Damage,60/90/270% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,Heal,15%,Derived,of the total damage dealt,Once,—
Quinn,3 Gold,Marksman,AD,Demacia,,Slayer,,4,Marking Skirmisher,"Quinn and Valor: Launch Valor through the row or column with the most enemies, marking them to take 10% Ability Power increased damage for 4 seconds. Then rain down arrows, dealing 550/555/565% Attack Damage physical damage split between all marked enemies.",1,Active,On Cast,—,Self,Pierce Projectile,Row or column with most enemies,default,default,4,1,—,—,—,Enemies in path,Status,Mark,—,—,—,Once,4
,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in path,Debuff,Damage Amplification,10% AP,—,—,Once,4
,,,,,,,,,,,2,Active,After Step 1,—,Self,Cast,Marked enemies,—,—,4,1,—,—,—,Marked enemies,Attack,Damage,550/555/565% AD,—,—,Once,—
Xayah,4 Gold,Marksman,AD,Ionia,,Vanquisher,,4,Feather Volley,"Featherstrike: Summon 7/7/15 feathers that converge on and pierce the current target, dealing 80/80/100% Attack Damage + 15/25/60% Ability Power physical damage. Each feather removes 6 Armor from the first target it hits until the end of combat.Ionia Bonus: Attacks restore 5 additional Mana.",0.1,Passive,On Attack,If Ionia Active,Self,Bonus on AA,Current,—,—,4,1,—,—,—,Self,Buff,Mana,5,—,—,Once,—
,,,,,,,,,,,1,Active,On Cast,—,Self,Gilgamesh Projectile,Current,default,default,4,7/7/15,—,At Once,—,Enemies in path,Attack,Damage,80/80/100% AD + 15/25/60% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,First hit enemy,Debuff,DEF,6,Per Stack,each feather removes 6,Once,Permanent

